"Abacavir";"Ziagen";"Comprimido revestido por película";"300 mg";"Autorizado";"N";"ViiV Healthcare UK Ltd.";
"Abacavir";"Ziagen";"Solução oral";"20 mg/ml";"Autorizado";"N";"ViiV Healthcare UK Ltd.";
"Abacavir + Lamivudina";"Kivexa";"Comprimido revestido por película";"600 mg + 300 mg";"Autorizado";"N";"ViiV Healthcare UK Ltd.";
"Abacavir + Lamivudina + Zidovudina";"Abacavir + Lamivudina + Zidovudina Teva";"Comprimido revestido por película";"300 mg + 150 mg + 300 mg";"Autorizado";"S";"Teva Pharma - Produtos Farmacêuticos, Lda.";
"Abacavir + Lamivudina + Zidovudina";"Trizivir";"Comprimido revestido por película";"300 mg + 150 mg + 300 mg";"Autorizado";"N";"ViiV Healthcare UK Ltd.";
"Abatacept";"Orencia";"Pó para concentrado para solução para perfusão";"250 mg";"Autorizado";"N";"Bristol-Myers Squibb Pharma EEIG";
"Abatacept";"Orencia";"Solução injetável em caneta pré-cheia";"125 mg/1 ml";"Autorizado";"N";"Bristol-Myers Squibb Pharma EEIG";
"Abatacept";"Orencia";"Solução injetável em seringa pré-cheia";"125 mg/1 ml";"Autorizado";"N";"Bristol-Myers Squibb Pharma EEIG";
"Abciximab";"Reopro";"Solução injetável";"10 mg/5 ml";"Autorizado";"N";"Janssen Biologics B.V.";
"Abiraterona";"Zytiga";"Comprimido";"250 mg";"Autorizado";"N";"Janssen-Cilag International N.V.";
"Acamprosato";"Campral";"Comprimido gastrorresistente";"333 mg";"Autorizado";"N";"Merck Santé S.A.S.";
"Acarbose";"Acarbose Bluepharma";"Comprimido";"100 mg";"Autorizado";"S";"Bluepharma Genéricos - Comércio de Medicamentos, S.A.";
"Acarbose";"Acarbose Bluepharma";"Comprimido";"50 mg";"Autorizado";"S";"Bluepharma Genéricos - Comércio de Medicamentos, S.A.";
"Acarbose";"Acarbose Bluesar";"Comprimido";"100 mg";"Autorizado";"S";"Bluepharma - Indústria Farmacêutica, S.A.";
"Acarbose";"Acarbose Bluesar";"Comprimido";"50 mg";"Autorizado";"S";"Bluepharma - Indústria Farmacêutica, S.A.";
"Acarbose";"Acarbose DNA Pharma";"Comprimido";"100 mg";"Autorizado";"S";"DNA Pharma, Lda.";
"Acarbose";"Acarbose DNA Pharma";"Comprimido";"50 mg";"Autorizado";"S";"DNA Pharma, Lda.";
"Acarbose";"Acarbose Establix";"Comprimido";"100 mg";"Autorizado";"S";"Pentafarma - Sociedade Técnico-Medicinal, S.A.";
"Acarbose";"Acarbose Establix";"Comprimido";"50 mg";"Autorizado";"S";"Pentafarma - Sociedade Técnico-Medicinal, S.A.";
"Acarbose";"Acarbose Farmoz";"Comprimido";"100 mg";"Autorizado";"S";"Farmoz - Sociedade Técnico Medicinal, S.A.";
"Acarbose";"Acarbose Farmoz";"Comprimido";"50 mg";"Autorizado";"S";"Farmoz - Sociedade Técnico Medicinal, S.A.";
"Acarbose";"Acarbose Friulchem";"Comprimido";"100 mg";"Autorizado";"S";"Friulchem S.p.A.";
"Acarbose";"Acarbose Friulchem";"Comprimido";"50 mg";"Autorizado";"S";"Friulchem S.p.A.";
"Acarbose";"Acarbose Generis";"Comprimido";"100 mg";"Autorizado";"S";"Generis Farmacêutica, S.A.";
"Acarbose";"Acarbose Generis";"Comprimido";"50 mg";"Autorizado";"S";"Generis Farmacêutica, S.A.";
"Acarbose";"Acarbose Labesfal";"Comprimido";"100 mg";"Autorizado";"S";"Labesfal Genéricos, S.A";
"Acarbose";"Acarbose Labesfal";"Comprimido";"50 mg";"Autorizado";"S";"Labesfal Genéricos, S.A";
"Acarbose";"Acarbose Mylan";"Comprimido";"100 mg";"Autorizado";"S";"Mylan, Lda.";
"Acarbose";"Acarbose Mylan";"Comprimido";"50 mg";"Autorizado";"S";"Mylan, Lda.";
"Acarbose";"Glucobay";"Comprimido";"100 mg";"Autorizado";"N";"Centrofarma - Indústria e Comércio de Produtos Farmacêuticos Unipessoal, Lda.";
"Acarbose";"Glucobay";"Comprimido";"50 mg";"Autorizado";"N";"Centrofarma - Indústria e Comércio de Produtos Farmacêuticos Unipessoal, Lda.";
"Acarbose";"Glucobay";"Comprimido orodispersível";"100 mg";"Autorizado";"N";"Centrofarma - Indústria e Comércio de Produtos Farmacêuticos Unipessoal, Lda.";
"Acarbose";"Glucobay";"Comprimido orodispersível";"50 mg";"Autorizado";"N";"Centrofarma - Indústria e Comércio de Produtos Farmacêuticos Unipessoal, Lda.";
"Aceclofenac";"Aceclofenac Alter 100 mg Comprimidos";"Comprimido revestido por película";"100 mg";"Autorizado";"S";"Alter, S.A.";
